Lines,Lon,VehicleNumber,Time,Lat,Brigade,download_id
76,20.925419,4268,2024-01-22 20:43:00,52.26033,5,1
17,21.001444,4269,2024-01-22 20:42:55,52.20641,10,1
17,21.000124,4270,2024-01-22 20:42:59,52.187836,7,1
15,20.9805,4271,2024-01-22 20:42:57,52.275234,6,1
10,20.999971,4272,2024-01-22 15:00:22,52.186924,011,1
17,20.972273,4273,2024-01-22 20:43:00,52.272133,5,1
31,21.002022,4275,2024-01-22 20:43:01,52.18612,2,1
18,21.021513,4276,2024-01-22 20:43:01,52.20897,012,1
33,20.931347,4277,2024-01-22 18:58:21,52.299152,8,1
10,21.021875,4279,2024-01-22 20:42:59,52.20793,1,1
18,21.008736,4280,2024-01-22 20:42:59,52.23491,10,1
76,20.913364,4282,2024-01-22 20:43:01,52.23816,015,1
17,21.023716,4283,2024-01-22 20:42:58,52.20034,26,1
10,21.000195,4285,2024-01-22 20:14:28,52.186153,011,1
17,20.929014,1282,2024-01-21 19:52:06,52.298424,013,2
7,21.054699,1298,2024-01-22 15:53:19,52.255978,09,2
7,21.054062,1312,2024-01-19 15:59:54,52.255634,012,2
17,20.928846,1314,2024-01-22 17:36:09,52.298576,013,2
4,20.929523,1318,2024-01-19 17:21:02,52.29822,014,2
25,21.054245,1324,2024-01-22 12:30:08,52.255898,013,2
22,20.973951,1364,2024-01-22 20:44:05,52.233498,013,2
25,21.00103,1388,2024-01-22 20:44:01,52.186333,8,2
28,20.90048,1390,2024-01-22 20:43:59,52.238705,1,2
28,21.041504,1392,2024-01-22 20:43:59,52.249992,5,2
15,20.999935,1394,2024-01-22 07:18:17,52.187542,013,2
15,20.981958,1396,2024-01-22 20:44:01,52.209866,011,2
17,20.988863,1398,2024-01-22 20:44:00,52.181858,015,2
15,21.00104,1402,2024-01-22 18:56:45,52.18658,011,2
15,21.01457,1404,2024-01-22 20:44:04,52.220016,013,2
25,21.053616,1408,2024-01-22 17:50:09,52.25562,013,2
25,20.984024,1410,2024-01-22 20:44:03,52.21962,013,2
25,21.054285,1412,2024-01-22 19:57:56,52.255833,012,2
7,21.055016,1416,2024-01-22 15:30:41,52.25608,012,2
25,21.054434,1428,2024-01-19 16:24:12,52.25574,012,2
